Vendedor Provincia;Vendedor Departamento;Producto;Variedad;Volumen (litros);Fecha;Precio;Forma de Pago
MENDOZA                       ;RIVADAVIA                     ;MOSTO SULFITADO BLANCO                                      ;-- -  - ;440000;2022-04-29;42,84;DIFERIDO                      
MENDOZA                       ;SAN MARTIN                    ;MOSTO SULFITADO BLANCO                                      ;-- -  - ;500000;2022-04-29;42,84;DIFERIDO                      
MENDOZA                       ;SAN RAFAEL                    ;VINO VARIETAL BLANCO                                        ;TORRONTES RIOJANO-OTRAS VAR.BLANCAS P/VINIFICAR- - OTRAS VAR.BLANCAS P/VINIFICAR  - ;294000;2022-04-29;56,27;CONTADO                       
MENDOZA                       ;LAVALLE                       ;VINO TINTO                                                  ;-- -  - ;1200000;2022-04-29;68,69;CONTADO                       
MENDOZA                       ;SAN MARTIN                    ;VINO BLANCO                                                 ;-- -  - ;127162;2022-04-29;40;CONTADO                       
MENDOZA                       ;SAN MARTIN                    ;VINO BLANCO                                                 ;-- -  - ;51745;2022-04-29;40;CONTADO                       
MENDOZA                       ;SAN MARTIN                    ;VINO BLANCO                                                 ;-- -  - ;33287;2022-04-29;40;CONTADO                       
MENDOZA                       ;SAN MARTIN                    ;VINO BLANCO                                                 ;-- -  - ;4727;2022-04-29;40;CONTADO                       
MENDOZA                       ;SAN MARTIN                    ;VINO BLANCO                                                 ;-- -  - ;29863;2022-04-29;40;CONTADO                       
MENDOZA                       ;RIVADAVIA                     ;VINO BLANCO                                                 ;-- -  - ;16195;2022-04-29;60;DIFERIDO                      
SAN JUAN                      ;CAPITAL                       ;VINO VARIETAL BLANCO                                        ;PINOT GRIS  (PINOT GRIGIO)-OTRAS VAR.BLANCAS P/VINIFICAR- - OTRAS VAR.BLANCAS P/VINIFICAR  - ;5820;2022-04-28;115;DIFERIDO                      
SAN JUAN                      ;CAPITAL                       ;VINO VARIETAL BLANCO                                        ;PINOT GRIS  (PINOT GRIGIO)-- -  - ;3480;2022-04-28;115;DIFERIDO                      
SAN JUAN                      ;CAPITAL                       ;VINO VARIETAL TINTO                                         ;MALBEC-OTRAS VARIED TINTAS P/VINIF.- - OTRAS VARIED TINTAS P/VINIF.   - ;23160;2022-04-28;115;DIFERIDO                      
SAN JUAN                      ;SAN MARTIN                    ;VINO BLANCO                                                 ;-- -  - ;68000;2022-04-28;85;DIFERIDO                      
SAN JUAN                      ;CAPITAL                       ;VINO VARIETAL TINTO                                         ;CABERNET SAUVIGNON-OTRAS VARIED TINTAS P/VINIF.- - OTRAS VARIED TINTAS P/VINIF.   - ;50000;2022-04-28;100;DIFERIDO                      
SAN JUAN                      ;CAPITAL                       ;VINO VARIETAL TINTO                                         ;MALBEC-OTRAS VARIED TINTAS P/VINIF.- - OTRAS VARIED TINTAS P/VINIF.   - ;150000;2022-04-28;105;DIFERIDO                      
SAN JUAN                      ;CAPITAL                       ;VINO VARIETAL TINTO                                         ;MALBEC-OTRAS VARIED TINTAS P/VINIF.- - OTRAS VARIED TINTAS P/VINIF.   - ;100000;2022-04-28;100;DIFERIDO                      
MENDOZA                       ;MAIPU                         ;VINO BLANCO                                                 ;-- -  - ;118097;2022-04-28;37,55;CONTADO                       
MENDOZA                       ;MAIPU                         ;VINO TINTO                                                  ;-- -  - ;87188;2022-04-28;43,53;CONTADO                       
MENDOZA                       ;LUJAN DE CUYO                 ;VINO VARIETAL TINTO                                         ;MALBEC-- -  - ;563;2022-04-28;369,27;CONTADO                       
MENDOZA                       ;SAN RAFAEL                    ;VINO VARIETAL TINTO                                         ;MALBEC-- -  - ;13057;2022-04-28;52;CONTADO                       
MENDOZA                       ;SAN RAFAEL                    ;VINO TINTO                                                  ;-- -  - ;482;2022-04-28;40;CONTADO                       
MENDOZA                       ;SAN RAFAEL                    ;VINO VARIETAL TINTO                                         ;CABERNET SAUVIGNON-- -  - ;16092;2022-04-28;49;CONTADO                       
MENDOZA                       ;SAN RAFAEL                    ;VINO VARIETAL TINTO                                         ;CABERNET SAUVIGNON-- -  - ;26261;2022-04-28;49;CONTADO                       
MENDOZA                       ;SAN RAFAEL                    ;VINO VARIETAL TINTO                                         ;MALBEC-- -  - ;2133;2022-04-28;52;CONTADO                       
MENDOZA                       ;SAN RAFAEL                    ;VINO VARIETAL TINTO                                         ;MALBEC-- -  - ;2958;2022-04-28;52;CONTADO                       
MENDOZA                       ;SAN RAFAEL                    ;VINO TINTO                                                  ;-- -  - ;2365;2022-04-28;40;CONTADO                       
MENDOZA                       ;SAN RAFAEL                    ;VINO TINTO                                                  ;-- -  - ;8236;2022-04-28;40;CONTADO                       
MENDOZA                       ;SAN RAFAEL                    ;VINO VARIETAL TINTO                                         ;CABERNET SAUVIGNON-- -  - ;2215;2022-04-28;49;CONTADO                       
MENDOZA                       ;SAN RAFAEL                    ;VINO VARIETAL TINTO                                         ;CABERNET SAUVIGNON-- -  - ;4130;2022-04-28;49;CONTADO                       
MENDOZA                       ;RIVADAVIA                     ;MOSTO CONCENTRADO RECTIFICADO BLANCO                        ;-- -  - ;320;2022-04-28;290;DIFERIDO                      
MENDOZA                       ;SAN MARTIN                    ;VINO BLANCO                                                 ;-- -  - ;40000;2022-04-28;3040;DIFERIDO                      
MENDOZA                       ;MAIPU                         ;MOSTO SULFITADO BLANCO                                      ;-- -  - ;500000;2022-04-28;55;DIFERIDO                      
MENDOZA                       ;SANTA ROSA                    ;MOSTO SULFITADO BLANCO                                      ;-- -  - ;6003;2022-04-28;50;DIFERIDO                      
MENDOZA                       ;RIVADAVIA                     ;MOSTO SULFITADO BLANCO                                      ;-- -  - ;58124;2022-04-28;55;DIFERIDO                      
SAN JUAN                      ;VEINTICINCO DE MAYO           ;VINO BLANCO                                                 ;-- -  - ;8100;2022-04-28;48;CONTADO                       
MENDOZA                       ;MAIPU                         ;VINO VARIETAL TINTO                                         ;MALBEC-- -  - ;225;2022-04-28;92;CONTADO                       
MENDOZA                       ;MAIPU                         ;VINO VARIETAL TINTO                                         ;BONARDA-- -  - ;135;2022-04-28;78;CONTADO                       
MENDOZA                       ;MAIPU                         ;VINO VARIETAL TINTO                                         ;MERLOT-- -  - ;270;2022-04-28;80;CONTADO                       
MENDOZA                       ;MAIPU                         ;VINO TINTO                                                  ;-- -  - ;180;2022-04-28;32;CONTADO                       
MENDOZA                       ;MAIPU                         ;VINO VARIETAL TINTO                                         ;MALBEC-- -  - ;360;2022-04-28;32;CONTADO                       
MENDOZA                       ;MAIPU                         ;VINO VARIETAL TINTO                                         ;CABERNET SAUVIGNON-- -  - ;90;2022-04-28;85;CONTADO                       
MENDOZA                       ;SAN RAFAEL                    ;VINO VARIETAL TINTO                                         ;CABERNET SAUVIGNON-- -  - ;6196;2022-04-28;49;CONTADO                       
MENDOZA                       ;SAN RAFAEL                    ;VINO VARIETAL TINTO                                         ;CABERNET SAUVIGNON-- -  - ;876;2022-04-28;49;CONTADO                       
MENDOZA                       ;SAN RAFAEL                    ;VINO VARIETAL TINTO                                         ;MALBEC-- -  - ;9488;2022-04-28;52;CONTADO                       
MENDOZA                       ;SAN RAFAEL                    ;VINO VARIETAL TINTO                                         ;MALBEC-- -  - ;7037;2022-04-28;52;CONTADO                       
MENDOZA                       ;SAN RAFAEL                    ;VINO TINTO                                                  ;-- -  - ;2675;2022-04-28;40;CONTADO                       
MENDOZA                       ;JUNIN                         ;VINO BLANCO                                                 ;-- -  - ;30000;2022-04-28;25;CONTADO                       
MENDOZA                       ;SAN MARTIN                    ;VINO TINTO                                                  ;-- -  - ;260000;2022-04-28;75;DIFERIDO                      
MENDOZA                       ;MAIPU                         ;VINO TINTO                                                  ;-- -  - ;87828;2022-04-28;45;CONTADO                       
MENDOZA                       ;SAN RAFAEL                    ;VINO ROSADO                                                 ;-- -  - ;10000;2022-04-28;50;CONTADO                       
