Vendedor Provincia;Vendedor Departamento;Producto;Variedad;Volumen (litros);Fecha;Precio;Forma de Pago
SAN JUAN                      ;ANGACO                        ;VINO BLANCO                                                 ;-- -  - ;4720;2022-09-22;60;DIFERIDO                      
MENDOZA                       ;TUPUNGATO                     ;VINO TINTO                                                  ;-- -  - ;20000;2022-09-22;80;CONTADO                       
SAN JUAN                      ;SAN MARTIN                    ;VINO TINTO                                                  ;-- -  - ;3308;2022-09-22;90;CONTADO                       
SAN JUAN                      ;ANGACO                        ;VINO BLANCO                                                 ;-- -  - ;3360;2022-09-22;85;DIFERIDO                      
SAN JUAN                      ;ANGACO                        ;VINO TINTO                                                  ;-- -  - ;3360;2022-09-22;85;DIFERIDO                      
MENDOZA                       ;RIVADAVIA                     ;VINO TINTO                                                  ;-- -  - ;317000;2022-09-22;85;DIFERIDO                      
SALTA                         ;CAFAYATE                      ;VINO VARIETAL BLANCO                                        ;TORRONTES RIOJANO-- -  - ;45000;2022-09-22;150;DIFERIDO                      
MENDOZA                       ;SAN MARTIN                    ;VINO BLANCO                                                 ;-- -  - ;543510;2022-09-22;20;DIFERIDO                      
MENDOZA                       ;SAN RAFAEL                    ;VINO TINTO                                                  ;-- -  - ;29180;2022-09-22;35;CONTADO                       
MENDOZA                       ;RIVADAVIA                     ;VINO TINTO                                                  ;-- -  - ;170860;2022-09-22;40;DIFERIDO                      
MENDOZA                       ;LUJAN DE CUYO                 ;VINO TINTO                                                  ;-- -  - ;1200;2022-09-21;50;CONTADO                       
MENDOZA                       ;SAN MARTIN                    ;MOSTO SULFITADO BLANCO                                      ;-- -  - ;1751;2022-09-21;50;DIFERIDO                      
MENDOZA                       ;SAN MARTIN                    ;MOSTO SULFITADO BLANCO                                      ;-- -  - ;12449;2022-09-21;50;DIFERIDO                      
MENDOZA                       ;SAN MARTIN                    ;MOSTO SULFITADO BLANCO                                      ;-- -  - ;3245;2022-09-21;50;DIFERIDO                      
MENDOZA                       ;LUJAN DE CUYO                 ;VINO VARIETAL TINTO                                         ;MALBEC-- -  - ;4725;2022-09-21;200;CONTADO                       
MENDOZA                       ;LUJAN DE CUYO                 ;VINO VARIETAL TINTO                                         ;MALBEC-OTRAS VARIED TINTAS P/VINIF.- - OTRAS VARIED TINTAS P/VINIF.   - ;16200;2022-09-21;200;CONTADO                       
SAN JUAN                      ;SARMIENTO                     ;MOSTO SULFITADO BLANCO                                      ;-- -  - ;77280;2022-09-21;45;DIFERIDO                      
SAN JUAN                      ;SAN MARTIN                    ;VINO TINTO                                                  ;-- -  - ;500000;2022-09-21;92;DIFERIDO                      
MENDOZA                       ;RIVADAVIA                     ;VINO VARIETAL ROSADO                                        ;CRIOLLA GRANDE-- -  - ;6750;2022-09-21;60;CONTADO                       
MENDOZA                       ;RIVADAVIA                     ;VINO VARIETAL TINTO                                         ;BONARDA-- -  - ;1000;2022-09-21;60;CONTADO                       
MENDOZA                       ;RIVADAVIA                     ;VINO VARIETAL BLANCO                                        ;CRIOLLA GRANDE-- -  - ;5250;2022-09-21;60;CONTADO                       
MENDOZA                       ;RIVADAVIA                     ;VINO VARIETAL ROSADO                                        ;CRIOLLA GRANDE-- -  - ;4250;2022-09-21;60;CONTADO                       
SAN JUAN                      ;CAPITAL                       ;VINO ESPECIAL C BLANCO                                      ;-- -  - ;29948;2022-09-21;145,48;DIFERIDO                      
SAN JUAN                      ;CAPITAL                       ;VINO BLANCO                                                 ;-- -  - ;93000;2022-09-21;82,5;DIFERIDO                      
SAN JUAN                      ;CAPITAL                       ;ARROPE DE UVA                                               ;-- -  - ;50;2022-09-21;385;DIFERIDO                      
SAN JUAN                      ;CAPITAL                       ;MOSTO CONCENTRADO RECTIFICADO BLANCO                        ;-- -  - ;740;2022-09-21;430,17;DIFERIDO                      
SAN JUAN                      ;CAPITAL                       ;VINO ROSADO                                                 ;-- -  - ;102200;2022-09-21;82,5;DIFERIDO                      
SAN JUAN                      ;ANGACO                        ;VINO TINTO                                                  ;-- -  - ;8916;2022-09-21;85;DIFERIDO                      
MENDOZA                       ;RIVADAVIA                     ;MOSTO SULFITADO BLANCO                                      ;-- -  - ;700;2022-09-21;35;DIFERIDO                      
MENDOZA                       ;RIVADAVIA                     ;VINO TINTO                                                  ;-- -  - ;20508;2022-09-21;150;DIFERIDO                      
MENDOZA                       ;JUNIN                         ;VINO TINTO                                                  ;-- -  - ;5000;2022-09-20;50;CONTADO                       
SAN JUAN                      ;POCITO                        ;MOSTO SULFITADO BLANCO                                      ;-- -  - ;75000;2022-09-20;44;DIFERIDO                      
SAN JUAN                      ;POCITO                        ;MOSTO SULFITADO BLANCO                                      ;-- -  - ;197160;2022-09-20;45;DIFERIDO                      
MENDOZA                       ;LUJAN DE CUYO                 ;VINO VARIETAL TINTO                                         ;MALBEC-- -  - ;99700;2022-09-20;190;CONTADO                       
MENDOZA                       ;LUJAN DE CUYO                 ;VINO VARIETAL TINTO                                         ;MALBEC-OTRAS VARIED TINTAS P/VINIF.- - OTRAS VARIED TINTAS P/VINIF.   - ;57800;2022-09-20;130;CONTADO                       
MENDOZA                       ;LUJAN DE CUYO                 ;VINO RESERVA VARIETAL TINTO                                 ;CABERNET FRANC-- -  - ;1872;2022-09-20;80;CONTADO                       
