Vendedor Provincia;Vendedor Departamento;Producto;Variedad;Volumen (litros);Fecha;Precio;Forma de Pago
SAN JUAN                      ;SARMIENTO                     ;MOSTO SULFITADO BLANCO                                      ;-- -  - ;3689;2022-06-30;67;DIFERIDO                      
SAN JUAN                      ;SARMIENTO                     ;VINO BLANCO                                                 ;-- -  - ;8609;2022-06-30;80;DIFERIDO                      
SAN JUAN                      ;SARMIENTO                     ;MOSTO SULFITADO BLANCO                                      ;-- -  - ;9057;2022-06-30;67;DIFERIDO                      
SAN JUAN                      ;SARMIENTO                     ;VINO BLANCO                                                 ;-- -  - ;21135;2022-06-30;75;DIFERIDO                      
MENDOZA                       ;JUNIN                         ;VINO VARIETAL TINTO                                         ;VERDOT-- -  - ;4000;2022-06-30;81;CONTADO                       
MENDOZA                       ;JUNIN                         ;VINO VARIETAL TINTO                                         ;BONARDA-- -  - ;1000;2022-06-30;81;CONTADO                       
MENDOZA                       ;RIVADAVIA                     ;VINO TINTO                                                  ;-- -  - ;119;2022-06-30;80,14;CONTADO                       
MENDOZA                       ;GODOY CRUZ                    ;VINO VARIETAL TINTO                                         ;MALBEC-- -  - ;49000;2022-06-30;200;CONTADO                       
SAN JUAN                      ;SAN MARTIN                    ;VINO BLANCO                                                 ;-- -  - ;51911;2022-06-30;64;CONTADO                       
SAN JUAN                      ;SAN MARTIN                    ;VINO BLANCO                                                 ;-- -  - ;25861;2022-06-30;60;CONTADO                       
MENDOZA                       ;TUPUNGATO                     ;VINO TINTO                                                  ;-- -  - ;15000;2022-06-30;180;CONTADO                       
MENDOZA                       ;MAIPU                         ;VINO VARIETAL TINTO                                         ;MALBEC-- -  - ;98220;2022-06-30;50;CONTADO                       
MENDOZA                       ;JUNIN                         ;VINO VARIETAL TINTO                                         ;BONARDA-- -  - ;4000;2022-06-30;50;DIFERIDO                      
MENDOZA                       ;LUJAN DE CUYO                 ;VINO RESERVA VARIETAL BLANCO                                ;CHARDONNAY-OTRAS VAR.BLANCAS P/VINIFICAR- - OTRAS VAR.BLANCAS P/VINIFICAR  - ;5000;2022-06-30;70;CONTADO                       
MENDOZA                       ;LUJAN DE CUYO                 ;VINO VARIETAL TINTO                                         ;MALBEC-- -  - ;1900;2022-06-30;160;DIFERIDO                      
MENDOZA                       ;JUNIN                         ;VINO VARIETAL TINTO                                         ;MALBEC-- -  - ;4000;2022-06-30;60;DIFERIDO                      
MENDOZA                       ;JUNIN                         ;VINO BLANCO                                                 ;-- -  - ;12000;2022-06-30;35;CONTADO                       
MENDOZA                       ;MAIPU                         ;VINO BLANCO                                                 ;-- -  - ;97850;2022-06-30;75;DIFERIDO                      
MENDOZA                       ;SAN MARTIN                    ;VINO BLANCO                                                 ;-- -  - ;21992;2022-06-30;61,67;DIFERIDO                      
MENDOZA                       ;SAN MARTIN                    ;VINO TINTO                                                  ;-- -  - ;5000;2022-06-30;60;DIFERIDO                      
MENDOZA                       ;SAN MARTIN                    ;VINO BLANCO                                                 ;-- -  - ;20000;2022-06-30;60;DIFERIDO                      
MENDOZA                       ;SAN MARTIN                    ;VINO BLANCO                                                 ;-- -  - ;1000;2022-06-30;61,67;DIFERIDO                      
MENDOZA                       ;SAN MARTIN                    ;VINO BLANCO                                                 ;-- -  - ;5241;2022-06-30;63,26;DIFERIDO                      
MENDOZA                       ;SAN MARTIN                    ;MOSTO SULFITADO BLANCO                                      ;-- -  - ;1310;2022-06-30;63,26;DIFERIDO                      
MENDOZA                       ;LUJAN DE CUYO                 ;VINO VARIETAL TINTO                                         ;MALBEC-- -  - ;300;2022-06-30;33,76;CONTADO                       
MENDOZA                       ;LUJAN DE CUYO                 ;VINO VARIETAL TINTO                                         ;CABERNET SAUVIGNON-- -  - ;780;2022-06-30;33,76;CONTADO                       
MENDOZA                       ;LUJAN DE CUYO                 ;VINO VARIETAL TINTO                                         ;MALBEC-- -  - ;26505;2022-06-30;33,76;CONTADO                       
MENDOZA                       ;GUAYMALLEN                    ;VINO VARIETAL TINTO                                         ;CABERNET SAUVIGNON-- -  - ;15000;2022-06-30;90;CONTADO                       
MENDOZA                       ;GUAYMALLEN                    ;VINO VARIETAL TINTO                                         ;MALBEC-- -  - ;45000;2022-06-30;90;CONTADO                       
MENDOZA                       ;MAIPU                         ;VINO VARIETAL ENDULZADO BLANCO                              ;SAUVIGNON-- -  - ;630;2022-06-30;75;CONTADO                       
MENDOZA                       ;MAIPU                         ;VINO VARIETAL TINTO                                         ;MALBEC-- -  - ;315;2022-06-30;75;CONTADO                       
MENDOZA                       ;MAIPU                         ;VINO TINTO                                                  ;-- -  - ;315;2022-06-30;75;CONTADO                       
MENDOZA                       ;MAIPU                         ;VINO VARIETAL TINTO                                         ;ASPIRANT BOUSCHET-BONARDA- - BONARDA                        - ;64315;2022-06-30;80;DIFERIDO                      
MENDOZA                       ;SAN RAFAEL                    ;VINO TINTO                                                  ;-- -  - ;32660;2022-06-30;40;CONTADO                       
MENDOZA                       ;SAN RAFAEL                    ;VINO TINTO                                                  ;-- -  - ;250000;2022-06-30;40;CONTADO                       
MENDOZA                       ;RIVADAVIA                     ;VINO BLANCO                                                 ;-- -  - ;172000;2022-06-30;69;DIFERIDO                      
MENDOZA                       ;JUNIN                         ;VINO BLANCO                                                 ;-- -  - ;24201;2022-06-30;45;DIFERIDO                      
MENDOZA                       ;JUNIN                         ;MOSTO SULFITADO BLANCO                                      ;-- -  - ;6050;2022-06-30;45;DIFERIDO                      
