Vendedor Provincia;Vendedor Departamento;Producto;Variedad;Volumen (litros);Fecha;Precio;Forma de Pago
MENDOZA                       ;LUJAN DE CUYO                 ;VINO VARIETAL TINTO                                         ;CABERNET SAUVIGNON-- -  - ;10000;2022-02-28;75;DIFERIDO                      
MENDOZA                       ;LUJAN DE CUYO                 ;VINO VARIETAL TINTO                                         ;CABERNET SAUVIGNON-OTRAS VARIED TINTAS P/VINIF.- - OTRAS VARIED TINTAS P/VINIF.   - ;5000;2022-02-28;75;DIFERIDO                      
MENDOZA                       ;LUJAN DE CUYO                 ;VINO VARIETAL TINTO                                         ;MALBEC-- -  - ;25000;2022-02-28;75;DIFERIDO                      
MENDOZA                       ;LUJAN DE CUYO                 ;VINO VARIETAL TINTO                                         ;CABERNET FRANC-- -  - ;8800;2022-02-28;75;DIFERIDO                      
MENDOZA                       ;GUAYMALLEN                    ;VINO TINTO                                                  ;-- -  - ;4950;2022-02-28;20;CONTADO                       
MENDOZA                       ;GUAYMALLEN                    ;VINO TINTO                                                  ;-- -  - ;3820;2022-02-28;20;CONTADO                       
MENDOZA                       ;GUAYMALLEN                    ;VINO BLANCO                                                 ;-- -  - ;58263;2022-02-28;20;CONTADO                       
MENDOZA                       ;GUAYMALLEN                    ;VINO BLANCO                                                 ;-- -  - ;100000;2022-02-28;20;CONTADO                       
MENDOZA                       ;GUAYMALLEN                    ;VINO BLANCO                                                 ;-- -  - ;170;2022-02-28;20;CONTADO                       
MENDOZA                       ;LUJAN DE CUYO                 ;VINO VARIETAL TINTO                                         ;MALBEC-- -  - ;570;2022-02-28;80;DIFERIDO                      
MENDOZA                       ;LUJAN DE CUYO                 ;VINO VARIETAL TINTO                                         ;CABERNET FRANC-- -  - ;1200;2022-02-28;80;DIFERIDO                      
MENDOZA                       ;MAIPU                         ;VINO GRAN RESERVA VARIETAL TINTO                            ;MALBEC-- -  - ;1512;2022-02-28;40;CONTADO                       
MENDOZA                       ;MAIPU                         ;VINO RESERVA VARIETAL TINTO                                 ;MALBEC-- -  - ;1000;2022-02-28;40;CONTADO                       
MENDOZA                       ;MAIPU                         ;VINO GRAN RESERVA VARIETAL TINTO                            ;MALBEC-- -  - ;750;2022-02-28;40;CONTADO                       
MENDOZA                       ;LUJAN DE CUYO                 ;VINO VARIETAL TINTO                                         ;MALBEC-OTRAS VARIED TINTAS P/VINIF.- - OTRAS VARIED TINTAS P/VINIF.   - ;25800;2022-02-28;80;CONTADO                       
MENDOZA                       ;SAN MARTIN                    ;VINO BLANCO                                                 ;-- -  - ;100000;2022-02-28;35;DIFERIDO                      
