Vendedor Provincia;Vendedor Departamento;Producto;Variedad;Volumen (litros);Fecha;Precio;Forma de Pago
MENDOZA                       ;SAN MARTIN                    ;MOSTO CONCENTRADO BLANCO                                    ;-- -  - ;52500;2022-08-30;215,33;DIFERIDO                      
MENDOZA                       ;TUPUNGATO                     ;VINO VARIETAL TINTO                                         ;MALBEC-OTRAS VARIED TINTAS P/VINIF.- - OTRAS VARIED TINTAS P/VINIF.   - ;105000;2022-08-30;197,4;CONTADO                       
MENDOZA                       ;MAIPU                         ;VINO VARIETAL TINTO                                         ;MALBEC-- -  - ;5000;2022-08-30;135;CONTADO                       
MENDOZA                       ;MAIPU                         ;VINO VARIETAL TINTO                                         ;PINOT NEGRO-- -  - ;2500;2022-08-30;130;CONTADO                       
MENDOZA                       ;MAIPU                         ;VINO VARIETAL TINTO                                         ;MALBEC-OTRAS VARIED TINTAS P/VINIF.- - OTRAS VARIED TINTAS P/VINIF.   - ;43710;2022-08-30;100;CONTADO                       
MENDOZA                       ;MAIPU                         ;VINO VARIETAL TINTO                                         ;MALBEC-TORRONTES RIOJANO- - TORRONTES RIOJANO              - ;23352;2022-08-30;100;CONTADO                       
MENDOZA                       ;MAIPU                         ;VINO VARIETAL TINTO                                         ;CABERNET SAUVIGNON-TORRONTES RIOJANO- - TORRONTES RIOJANO              - ;35513;2022-08-30;100;CONTADO                       
MENDOZA                       ;MAIPU                         ;VINO VARIETAL TINTO                                         ;MALBEC-OTRAS VARIED TINTAS P/VINIF.- - OTRAS VARIED TINTAS P/VINIF.   - ;28425;2022-08-30;100;CONTADO                       
MENDOZA                       ;LUJAN DE CUYO                 ;VINO TINTO                                                  ;-- -  - ;962300;2022-08-30;83;CONTADO                       
MENDOZA                       ;TUNUYAN                       ;VINO TINTO                                                  ;-- -  - ;56849;2022-08-30;156;CONTADO                       
MENDOZA                       ;RIVADAVIA                     ;MOSTO SULFITADO BLANCO                                      ;-- -  - ;838;2022-08-30;61,26;DIFERIDO                      
MENDOZA                       ;RIVADAVIA                     ;VINO BLANCO                                                 ;-- -  - ;150000;2022-08-30;50;CONTADO                       
MENDOZA                       ;RIVADAVIA                     ;VINO VARIETAL BLANCO                                        ;SAUVIGNON-- -  - ;15000;2022-08-30;135;CONTADO                       
SAN JUAN                      ;ANGACO                        ;VINO BLANCO                                                 ;-- -  - ;5;2022-08-30;55;CONTADO                       
SAN JUAN                      ;SARMIENTO                     ;MOSTO SULFITADO BLANCO                                      ;-- -  - ;24500;2022-08-30;55;CONTADO                       
MENDOZA                       ;JUNIN                         ;VINO BLANCO                                                 ;-- -  - ;7700;2022-08-30;50;CONTADO                       
MENDOZA                       ;SAN RAFAEL                    ;VINO ROSADO                                                 ;-- -  - ;30000;2022-08-30;40;CONTADO                       
MENDOZA                       ;SAN MARTIN                    ;MOSTO CONCENTRADO BLANCO                                    ;-- -  - ;7540;2022-08-30;80;CONTADO                       
MENDOZA                       ;RIVADAVIA                     ;VINO ROSADO                                                 ;-- -  - ;149000;2022-08-30;50;CONTADO                       
MENDOZA                       ;GODOY CRUZ                    ;VINO VARIETAL TINTO                                         ;MALBEC-OTRAS VARIED TINTAS P/VINIF.- - OTRAS VARIED TINTAS P/VINIF.   - ;96000;2022-08-30;38;CONTADO                       
MENDOZA                       ;GENERAL ALVEAR                ;MOSTO SULFITADO BLANCO                                      ;-- -  - ;1617;2022-08-30;51;DIFERIDO                      
MENDOZA                       ;GENERAL ALVEAR                ;VINO BLANCO                                                 ;-- -  - ;3195;2022-08-30;57;DIFERIDO                      
MENDOZA                       ;SAN MARTIN                    ;VINO TINTO                                                  ;-- -  - ;18000;2022-08-30;80;DIFERIDO                      
MENDOZA                       ;LUJAN DE CUYO                 ;VINO VARIETAL TINTO                                         ;MALBEC-- -  - ;10233;2022-08-30;195;CONTADO                       
MENDOZA                       ;LUJAN DE CUYO                 ;VINO VARIETAL TINTO                                         ;CABERNET FRANC-- -  - ;2567;2022-08-30;195;CONTADO                       
RIO NEGRO                     ;GENERAL ROCA                  ;VINO VARIETAL TINTO                                         ;MERLOT-- -  - ;225;2022-08-30;137;CONTADO                       
RIO NEGRO                     ;GENERAL ROCA                  ;VINO VARIETAL TINTO                                         ;CABERNET SAUVIGNON-- -  - ;225;2022-08-30;137;CONTADO                       
RIO NEGRO                     ;GENERAL ROCA                  ;VINO VARIETAL TINTO                                         ;MALBEC-- -  - ;2000;2022-08-30;137;CONTADO                       
MENDOZA                       ;LUJAN DE CUYO                 ;VINO VARIETAL TINTO                                         ;MALBEC-- -  - ;13000;2022-08-30;105;CONTADO                       
MENDOZA                       ;SAN CARLOS                    ;VINO VARIETAL TINTO                                         ;PINOT NEGRO-- -  - ;1000;2022-08-30;200;CONTADO                       
SAN JUAN                      ;CAUCETE                       ;VINO VARIETAL TINTO                                         ;MALBEC-- -  - ;17000;2022-08-30;0,84;DIFERIDO                      
MENDOZA                       ;SAN RAFAEL                    ;VINO TINTO                                                  ;-- -  - ;10000;2022-08-30;60;CONTADO                       
MENDOZA                       ;SAN RAFAEL                    ;VINO ROSADO                                                 ;-- -  - ;6802;2022-08-30;50;CONTADO                       
SAN JUAN                      ;SARMIENTO                     ;VINO VARIETAL BLANCO                                        ;PEDRO GIMENEZ-- -  - ;249000;2022-08-30;50;DIFERIDO                      
SAN JUAN                      ;RAWSON                        ;VINO VARIETAL TINTO                                         ;MALBEC-OTRAS VARIED TINTAS P/VINIF.- - OTRAS VARIED TINTAS P/VINIF.   - ;17000;2022-08-30;87,82;DIFERIDO                      
MENDOZA                       ;JUNIN                         ;VINO TINTO                                                  ;-- -  - ;9718;2022-08-30;60;DIFERIDO                      
MENDOZA                       ;SAN MARTIN                    ;VINO VARIETAL TINTO                                         ;MALBEC-OTRAS VARIED TINTAS P/VINIF.- - OTRAS VARIED TINTAS P/VINIF.   - ;10600;2022-08-30;5;DIFERIDO                      
MENDOZA                       ;SAN MARTIN                    ;VINO VARIETAL TINTO                                         ;MALBEC-OTRAS VARIED TINTAS P/VINIF.- - OTRAS VARIED TINTAS P/VINIF.   - ;57500;2022-08-30;5;DIFERIDO                      
MENDOZA                       ;SAN MARTIN                    ;VINO TINTO                                                  ;-- -  - ;49138;2022-08-30;5;CONTADO                       
MENDOZA                       ;SAN MARTIN                    ;VINO BLANCO                                                 ;-- -  - ;11882;2022-08-30;5;CONTADO                       
MENDOZA                       ;MAIPU                         ;VINO VARIETAL TINTO                                         ;MALBEC-- -  - ;16180;2022-08-30;135;CONTADO                       
MENDOZA                       ;SAN MARTIN                    ;VINO BLANCO                                                 ;-- -  - ;20000;2022-08-30;40;DIFERIDO                      
MENDOZA                       ;GUAYMALLEN                    ;MOSTO SULFITADO BLANCO                                      ;-- -  - ;500000;2022-08-30;35;CONTADO                       
SALTA                         ;CAFAYATE                      ;VINO VARIETAL TINTO                                         ;TANNAT-- -  - ;100;2022-08-30;240;CONTADO                       
MENDOZA                       ;RIVADAVIA                     ;VINO VARIETAL BLANCO                                        ;CHARDONNAY-- -  - ;3000;2022-08-30;45;CONTADO                       
MENDOZA                       ;RIVADAVIA                     ;VINO VARIETAL A CERTIFICAR TINTO                            ;BONARDA-- -  - ;3000;2022-08-30;45;CONTADO                       
MENDOZA                       ;MAIPU                         ;VINO VARIETAL BLANCO                                        ;CHARDONNAY-- -  - ;225;2022-08-30;98;CONTADO                       
MENDOZA                       ;SAN MARTIN                    ;VINO TINTO                                                  ;-- -  - ;22000;2022-08-30;55;DIFERIDO                      
MENDOZA                       ;LUJAN DE CUYO                 ;VINO RESERVA VARIETAL TINTO                                 ;MALBEC-- -  - ;1700;2022-08-30;261;CONTADO                       
MENDOZA                       ;LUJAN DE CUYO                 ;VINO RESERVA VARIETAL TINTO                                 ;CABERNET FRANC-- -  - ;1700;2022-08-30;290;CONTADO                       
MENDOZA                       ;LUJAN DE CUYO                 ;VINO VARIETAL TINTO                                         ;MALBEC-OTRAS VARIED TINTAS P/VINIF.- - OTRAS VARIED TINTAS P/VINIF.   - ;18650;2022-08-29;134;CONTADO                       
MENDOZA                       ;GUAYMALLEN                    ;VINO BLANCO                                                 ;-- -  - ;89214;2022-08-29;40;CONTADO                       
MENDOZA                       ;GUAYMALLEN                    ;VINO ROSADO                                                 ;-- -  - ;168620;2022-08-29;40;CONTADO                       
MENDOZA                       ;GUAYMALLEN                    ;VINO TINTO                                                  ;-- -  - ;3166;2022-08-29;40;CONTADO                       
MENDOZA                       ;LAVALLE                       ;MOSTO SULFITADO BLANCO                                      ;-- -  - ;319740;2022-08-29;49,13;CONTADO                       
MENDOZA                       ;RIVADAVIA                     ;MOSTO SULFITADO BLANCO                                      ;-- -  - ;157;2022-08-29;65,1;DIFERIDO                      
MENDOZA                       ;RIVADAVIA                     ;MOSTO SULFITADO BLANCO                                      ;-- -  - ;253;2022-08-29;58,07;DIFERIDO                      
MENDOZA                       ;RIVADAVIA                     ;MOSTO SULFITADO BLANCO                                      ;-- -  - ;806;2022-08-29;65,64;DIFERIDO                      
MENDOZA                       ;LUJAN DE CUYO                 ;VINO VARIETAL TINTO                                         ;MALBEC-OTRAS VARIED TINTAS P/VINIF.- - OTRAS VARIED TINTAS P/VINIF.   - ;7400;2022-08-29;305;CONTADO                       
MENDOZA                       ;LUJAN DE CUYO                 ;VINO VARIETAL TINTO                                         ;MALBEC-- -  - ;600;2022-08-29;305;CONTADO                       
MENDOZA                       ;JUNIN                         ;VINO VARIETAL A CERTIFICAR TINTO                            ;SYRAH  (SHIRAZ-SIRAH)-- -  - ;8720;2022-08-29;65;CONTADO                       
MENDOZA                       ;JUNIN                         ;VINO TINTO                                                  ;-- -  - ;17000;2022-08-29;70,5;CONTADO                       
MENDOZA                       ;JUNIN                         ;VINO TINTO                                                  ;-- -  - ;4500;2022-08-29;68,5;CONTADO                       
MENDOZA                       ;LUJAN DE CUYO                 ;VINO VARIETAL TINTO                                         ;MALBEC-- -  - ;4300;2022-08-29;195;CONTADO                       
MENDOZA                       ;LUJAN DE CUYO                 ;VINO VARIETAL TINTO                                         ;MALBEC-- -  - ;8500;2022-08-29;195;CONTADO                       
MENDOZA                       ;RIVADAVIA                     ;VINO TINTO                                                  ;-- -  - ;6000;2022-08-29;30;DIFERIDO                      
MENDOZA                       ;RIVADAVIA                     ;VINO VARIETAL TINTO                                         ;CABERNET SAUVIGNON-OTRAS VARIED TINTAS P/VINIF.- - OTRAS VARIED TINTAS P/VINIF.   - ;13216;2022-08-29;80;DIFERIDO                      
MENDOZA                       ;RIVADAVIA                     ;VINO VARIETAL TINTO                                         ;CABERNET SAUVIGNON-OTRAS VARIED TINTAS P/VINIF.- - OTRAS VARIED TINTAS P/VINIF.   - ;13626;2022-08-29;80;DIFERIDO                      
MENDOZA                       ;LUJAN DE CUYO                 ;VINO VARIETAL TINTO                                         ;MALBEC-OTRAS VARIED TINTAS P/VINIF.- - OTRAS VARIED TINTAS P/VINIF.   - ;112000;2022-08-29;102;CONTADO                       
SAN JUAN                      ;SANTA LUCIA                   ;MOSTO CONCENTRADO BLANCO                                    ;-- -  - ;80250;2022-08-29;209,13;DIFERIDO                      
MENDOZA                       ;SAN CARLOS                    ;VINO VARIETAL TINTO                                         ;MALBEC-- -  - ;788;2022-08-29;80;CONTADO                       
MENDOZA                       ;RIVADAVIA                     ;VINO VARIETAL TINTO                                         ;CABERNET SAUVIGNON-OTRAS VARIED TINTAS P/VINIF.- - OTRAS VARIED TINTAS P/VINIF.   - ;6460;2022-08-29;80;DIFERIDO                      
MENDOZA                       ;SAN CARLOS                    ;VINO VARIETAL TINTO                                         ;MALBEC-- -  - ;15000;2022-08-29;125;CONTADO                       
SAN JUAN                      ;CAPITAL                       ;VINO VARIETAL TINTO                                         ;MALBEC-- -  - ;2800;2022-08-29;127;DIFERIDO                      
SALTA                         ;CAFAYATE                      ;VINO REGIONAL TINTO                                         ;-- -  - ;23721;2022-08-29;50;DIFERIDO                      
MENDOZA                       ;MAIPU                         ;VINO GRAN RESERVA VARIETAL TINTO                            ;MALBEC-- -  - ;180;2022-08-29;65;CONTADO                       
MENDOZA                       ;SAN MARTIN                    ;VINO BLANCO                                                 ;-- -  - ;100000;2022-08-29;40;DIFERIDO                      
MENDOZA                       ;SANTA ROSA                    ;VINO ROSADO                                                 ;-- -  - ;27000;2022-08-29;50;DIFERIDO                      
MENDOZA                       ;GENERAL ALVEAR                ;VINO TINTO                                                  ;-- -  - ;6192;2022-08-29;45;CONTADO                       
MENDOZA                       ;LUJAN DE CUYO                 ;VINO VARIETAL TINTO                                         ;MALBEC-OTRAS VARIED TINTAS P/VINIF.- - OTRAS VARIED TINTAS P/VINIF.   - ;18650;2022-08-28;134;CONTADO                       
MENDOZA                       ;RIVADAVIA                     ;MOSTO SULFITADO BLANCO                                      ;-- -  - ;1836;2022-08-28;52;DIFERIDO                      
